A1_Serial_Number,A2_Arabic_Name,A3_Transliteration_ALA_LC,A4_English_Meaning,A5_Arabic_Root,A7_Tier,D1_Jalal_Jamal_Kamal,H1_JJK_5Class_v2_1,C4_Homonym_Flag,F1_Include_in_Network
53,الْوَكِيل,Al-Wakīl,The Trustee / The Guardian,وكل,Tier 1,Jamāl,Jamāl,No,Yes
54,الْقَوِي,Al-Qawī,The All-Strong,قوي,Tier 1,Jalāl,Jalāl,No,Yes
55,الْمَتِين,Al-Matīn,The Firm / The Steadfast,متن,Tier 1,Jalāl,Jalāl,No,Yes
56,الْوَلِي,Al-Walī,The Protecting Friend / The Patron,ولي,Tier 1,Jamāl,Jamāl,No,Yes
57,الْحَمِيد,Al-Ḥamīd,The Praiseworthy,حمد,Tier 1,Kamāl,Kamāl-ontological,No,Yes
58,الْمُحْصِي,Al-Muḥṣī,The Appraiser / The Counter of All Things,حصي,Tier 1,Kamāl,Kamāl-epistemic,No,Yes
59,الْمُبْدِئ,Al-Mubdi',The Originator / The Initiator,بدأ,Tier 1,Jalāl,Jalāl,No,Yes
60,الْمُعِيد,Al-Mu'īd,The Restorer / The Reinstater,عود,Tier 1,Jamāl,Jamāl,No,Yes
61,الْمُحْيِي,Al-Muḥyī,The Giver of Life,حيي,Tier 1,Jamāl,Jamāl,No,Yes
62,الْمُمِيت,Al-Mumīt,The Taker of Life / The Causer of Death,موت,Tier 1,Jalāl,Jalāl,No,Yes
63,الْحَي,Al-Ḥayy,The Ever-Living,حيي,Tier 1,Kamāl,Kamāl-ontological,No,Yes
64,الْقَيُّوم,Al-Qayyūm,The Self-Subsisting / The Sustainer of All,قوم,Tier 1,Kamāl,Kamāl-ontological,No,Yes
65,الْوَاجِد,Al-Wājid,The Finder / The All-Perceiving,وجد,Tier 1,Kamāl,Disputed,No,Yes
66,الْمَاجِد,Al-Mājid,The Noble / The Glorious,مجد,Tier 1,Jalāl,Jalāl,Yes,Yes
67,الْوَاحِد,Al-Wāḥid,The One / The Unique,وحد,Tier 1,Kamāl,Kamāl-ontological,No,Yes
68,الْأَحَد,Al-Aḥad,The Absolutely One,وحد,Tier 1,Kamāl,Kamāl-ontological,No,Yes
69,الصَّمَد,Al-Ṣamad,The Eternal / The Self-Sufficient / The Impenetrable,صمد,Tier 1,Kamāl,Kamāl-ontological,No,Yes
70,الْقَادِر,Al-Qādir,The All-Capable / The Omnipotent,قدر,Tier 1,Jalāl,Jalāl,No,Yes
71,الْمُقْتَدِر,Al-Muqtadir,The All-Determining / The All-Powerful,قدر,Tier 1,Jalāl,Jalāl,No,Yes
72,الْمُقَدِّم,Al-Muqaddim,The Expediter / The One Who Brings Forward,قدم,Tier 1,Jalāl,Jalāl,No,Yes
73,الْمُؤَخِّر,Al-Mu'akhkhir,The Delayer / The One Who Holds Back,أخر,Tier 1,Jamāl,Jamāl,No,Yes
74,الْأَوَّل,Al-Awwal,The First,أول,Tier 1,Kamāl,Kamāl-ontological,No,Yes
75,الْآخِر,Al-Ākhir,The Last,أخر,Tier 1,Kamāl,Kamāl-ontological,No,Yes
76,الظَّاهِر,Al-Ẓāhir,The Manifest / The Evident,ظهر,Tier 1,Jalāl,Jalāl,No,Yes
77,الْبَاطِن,Al-Bāṭin,The Hidden / The Inwardly Knowing,بطن,Tier 1,Jamāl,Jamāl,No,Yes
78,الْوَالِي,Al-Wālī,The Governer / The Patron,ولي,Tier 1,Jalāl,Jalāl,No,Yes
79,الْمُتَعَالِ,Al-Muta'āl,The Most Exalted / The Supremely Sublime,علو,Tier 1,Jalāl,Jalāl,No,Yes
80,الْبَر,Al-Barr,The Source of Goodness / The Beneficent,برر,Tier 1,Jamāl,Jamāl,No,Yes
81,التَّوَّاب,Al-Tawwāb,The Ever-Returning in Mercy / The Oft-Relenting,توب,Tier 1,Jamāl,Jamāl,No,Yes
82,الْمُنْتَقِم,Al-Muntaqim,The Avenger,نقم,Tier 1,Jalāl,Jalāl,No,Yes
83,الْعَفُو,Al-'Afūw,The Pardoner / The Effacer of Sins,عفو,Tier 1,Jamāl,Jamāl,No,Yes
84,الرَّءُوف,Al-Ra'ūf,The Most Kind / The Compassionate,رأف,Tier 1,Jamāl,Jamāl,No,Yes
85,مَالِك الْمُلْك,Mālik al-Mulk,The Owner of All Sovereignty,ملك,Tier 1,Jalāl,Jalāl,No,Yes
86,ذُو الْجَلَالِ وَالْإِكْرَام,Dhū al-Jalāl wa'l-Ikrām,The Lord of Majesty and Generosity,جلل / كرم,Tier 1,Kamāl,Disputed,No,Yes
87,الْمُقْسِط,Al-Muqsiṭ,The Equitable / The Just,قسط,Tier 1,Jalāl,Jalāl,No,Yes
88,الْجَامِع,Al-Jāmi',The Gatherer / The Assembler,جمع,Tier 1,Jalāl,Jalāl,No,Yes
89,الْغَنِي,Al-Ghanī,The Self-Sufficient / The Free of Need,غني,Tier 1,Kamāl,Kamāl-ontological,No,Yes
90,الْمُغْنِي,Al-Mughnī,The Enricher / The One Who Frees from Need,غني,Tier 1,Jamāl,Jamāl,No,Yes
91,الْمَانِع,Al-Māni',The Preventer / The Withholder,منع,Tier 1,Jalāl,Jalāl,No,Yes
92,الضَّار,Al-Ḍārr,The Distressor / The Afflicter,ضرر,Tier 1,Jalāl,Jalāl,No,Yes
93,النَّافِع,Al-Nāfi',The Benefiter / The Granter of Benefit,نفع,Tier 1,Jamāl,Jamāl,No,Yes
94,النُّور,Al-Nūr,The Light,نور,Tier 1,Kamāl,Kamāl-epistemic (upgraded from Disputed — see rationale),No,Yes
95,الْهَادِي,Al-Hādī,The Guide,هدي,Tier 1,Jamāl,Jamāl,No,Yes
96,الْبَدِيع,Al-Badī',The Originator / The Incomparable Creator,بدع,Tier 1,Jalāl,Jalāl,No,Yes
97,الْبَاقِي,Al-Bāqī,The Everlasting / The Eternal Survivor,بقي,Tier 1,Kamāl,Kamāl-ontological,No,Yes
98,الْوَارِث,Al-Wārith,The Inheritor / The Heir,ورث,Tier 1,Kamāl,Kamāl-ontological,No,Yes
99,الرَّشِيد,Al-Rashīd,The Guide to the Right Path / The Rightly Directing,رشد,Tier 1,Kamāl,Kamāl-epistemic,No,Yes
100,الصَّبُور,Al-Ṣabūr,The Patient / The Forbearing,صبر,Tier 1,Jamāl,Jamāl,No,Yes
101,الْعَلَّام,Al-'Allām,The All-Knowing (intensive),علم,Tier 2,Kamāl,Kamāl-epistemic,No,Yes
102,الرَّزَّاق,Al-Rāziq,The Provider,رزق,Tier 2,Jamāl,Jamāl,No,Yes
103,الْخَلَّاق,Al-Khallāq,The Supreme Creator (intensive),خلق,Tier 2,Jalāl,Jalāl,No,Yes
104,الْكَافِي,Al-Kāfī,The Sufficient / The All-Sufficient,كفي,Tier 2,Jamāl,Jamāl,No,Yes
105,الشَّاكِر,Al-Shākir,The Appreciative / The Grateful,شكر,Tier 2,Jamāl,Jamāl,No,Yes
106,ذُو الرَّحْمَة,Dhū al-Raḥma,The Possessor of Mercy,رحم,Tier 2,Jamāl,Jamāl,No,Yes
107,السِّتِّير,Al-Sittīr,The Veiling One / The Modest Concealer of Faults,ستر,Tier 3,Excluded,Excluded,No,No
108,الْجَمِيل,Al-Jamīl,The Beautiful,جمل,Tier 3,Excluded,Excluded,No,No
